assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
40,26,52,0.45161,4,77,33,Stone,1,27,8475913,17,73,0.9480500000000001,R,6,20,20182019,1,1,0.16582000000000002,R,199,Mark Stone,"OTT,VGK",1193.1168
42,15,45,0.34782,3,65,21,Stone,0,27,8475913,15,63,0.96923,R,6,17,20192020,0,1,0.125,R,168,Mark Stone,VGK,1164.7846
40,14,43,0.4,8,55,21,Stone,0,28,8475913,26,61,1.10909,R,6,17,20202021,1,1,0.21428000000000003,R,98,Mark Stone,VGK,1143.6545
21,12,27,0.0,1,43,17,Stone,0,10,8475913,11,38,0.8837200000000001,R,3,9,20222023,2,2,0.15044000000000002,R,113,Mark Stone,VGK,1162.6046
21,6,23,0.44827000000000006,2,37,9,Stone,0,8,8475913,7,30,0.81081,R,3,6,20212022,0,1,0.12676,R,71,Mark Stone,VGK,1100.5945
52,18,50,0.49499000000000004,5,82,39,Zibanejad,0,20,8476459,25,91,1.10975,C,20,39,20222023,1,2,0.15537,R,251,Mika Zibanejad,NYR,1197.7317
52,13,48,0.5231600000000001,3,81,29,Zibanejad,0,12,8476459,30,81,1.0,C,15,28,20212022,1,5,0.13242,R,219,Mika Zibanejad,NYR,1178.3703
34,23,43,0.49169,6,57,41,Zibanejad,2,14,8476459,9,75,1.31578,C,15,27,20192020,3,5,0.19711,R,208,Mika Zibanejad,NYR,1297.7192
44,17,49,0.49671000000000004,5,82,30,Zibanejad,0,47,8476459,-12,74,0.9024300000000001,C,11,23,20182019,2,2,0.12711,R,236,Mika Zibanejad,NYR,1233.5121
26,12,32,0.46324000000000004,7,56,24,Zibanejad,1,18,8476459,2,50,0.89285,C,10,14,20202021,2,4,0.14035,R,171,Mika Zibanejad,NYR,1206.0178
32,22,43,0.56854,5,79,38,Horvat,1,18,8477500,-1,70,0.88607,C,12,22,20222023,4,5,0.16593000000000002,L,229,Bo Horvat,"VAN,NYI",1239.2405
34,18,40,0.53666,3,82,27,Horvat,2,33,8477500,-4,61,0.7439,C,7,18,20182019,2,3,0.11894,L,227,Bo Horvat,VAN,1250.1341
31,10,37,0.57316,2,69,22,Horvat,0,21,8477500,-15,53,0.7681100000000001,C,12,16,20192020,0,0,0.12359,L,178,Bo Horvat,VAN,1183.913
21,17,32,0.57016,4,70,31,Horvat,0,40,8477500,3,52,0.74285,C,13,19,20212022,1,1,0.15979000000000002,L,194,Bo Horvat,VAN,1170.6714
20,11,27,0.52897,3,56,19,Horvat,1,23,8477500,-6,39,0.69642,C,7,11,20202021,1,1,0.14503000000000002,L,131,Bo Horvat,VAN,1193.375
