faceoffWinPct,gameDate,homeRoad,opponentTeamAbbrev,penaltyKillPct,powerPlayPct,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,wins,daysSinceLastGame,winStreak,gamesPlayed
0.606557,2023-10-26,H,COL,1.0,0.0,31.0,29.0,Pittsburgh Penguins,5,1,2,0,6
0.508474,2023-10-28,H,OTT,0.666667,0.0,26.0,43.0,Pittsburgh Penguins,5,0,2,1,7
0.7049179999999999,2023-10-30,H,ANA,0.666667,0.2857139999999999,27.0,42.0,Pittsburgh Penguins,5,0,2,0,8
0.561403,2023-11-04,R,SJS,0.666667,0.5,26.0,35.0,Pittsburgh Penguins,5,1,5,0,9
0.530303,2023-11-07,R,ANA,1.0,0.0,31.0,36.0,Pittsburgh Penguins,5,1,3,1,10
0.5,2023-11-09,R,LAK,1.0,0.0,36.0,20.0,Pittsburgh Penguins,5,1,2,2,11
0.638297,2023-11-11,H,BUF,1.0,0.333333,35.0,39.0,Pittsburgh Penguins,5,1,2,3,12
0.5185179999999999,2023-11-14,R,CBJ,1.0,0.0,30.0,41.0,Pittsburgh Penguins,5,1,3,4,13
0.428571,2023-11-16,H,NJD,1.0,0.0,31.0,23.0,Pittsburgh Penguins,5,0,2,5,14
0.525423,2023-11-18,R,CAR,0.666667,0.0,34.0,28.0,Pittsburgh Penguins,5,0,2,0,15
